Customer ID,Total Spending,Purchase Frequency,Segment
5eae974e,275.31,1,Medium Value
5f0bf69b,2168.5,1,VIP
618a1891,2127.54,1,VIP
61e407f2,1379.98,1,VIP
6428bcfb,2416.32,1,VIP
68abddab,2706.42,1,VIP
694529fd,1223.49,1,VIP
6a324658,495.3,1,Medium Value
6aa51ff6,1247.88,1,VIP
6acb029b,2436.65,1,VIP
6af3b449,652.72,1,High Value
6b0943f3,3568.96,1,VIP
6cb31e6f,344.65000000000003,1,Medium Value
6d835950,309.85,1,Medium Value
6fc73810,62.95,1,Low Value
721cdd7a,167.69,1,Medium Value
740f4bd6,961.58,1,High Value
746d6991,1679.64,1,VIP
76870343,56.08,1,Low Value
79197512,41.02,1,Low Value
7967a722,1812.64,1,VIP
79ef3958,4468.68,1,VIP
7b34d5d7,2466.95,1,VIP
7ec6c037,1222.17,1,VIP
7f4d4f0b,970.18,1,High Value
84bba11a,126.35,1,Medium Value
867c4607,814.4499999999999,1,High Value
872175df,2099.8500000000004,1,VIP
8777fe14,3374.8,1,VIP
877f8667,364.23,1,Medium Value
8a2204f9,956.25,1,High Value
8bccae6b,166.12,1,Medium Value
8c39c8c5,1402.36,1,VIP
8d0d6a67,1662.12,1,VIP
8e4b158c,598.18,1,High Value
8f364590,181.46,1,Medium Value
8fb95ea2,1130.04,1,VIP
9247b927,3470.85,1,VIP
925267b1,949.65,1,High Value
92a7bbb0,2264.58,1,VIP
93d8c386,2407.58,1,VIP
9467523a,684.0,1,High Value
95f41cd4,2116.05,1,VIP
99270e4e,1511.68,1,VIP
993d59ad,139.89,1,Medium Value
9bfa07ab,40.24,1,Low Value
9e0f6b93,51.75,1,Low Value
9e3da573,1140.1,1,VIP
9fb50c5f,2363.3,1,VIP
9fe47fd8,230.55,1,Medium Value
a012c0a1,3372.6,1,VIP
a0bf5d65,4082.85,1,VIP
a14366f0,351.98,1,Medium Value
a1debbd9,809.76,1,High Value
a3e7ca3e,190.56,1,Medium Value
a40a5730,756.6,1,High Value
a6a45442,3172.05,1,VIP
a806f80f,135.81,1,Medium Value
a97694a6,631.28,1,High Value
aa31b3ff,824.32,1,High Value
aad58c89,1722.15,1,VIP
aff52769,893.5,1,High Value
b0088664,3673.44,1,VIP
b02e0a23,237.0,1,Medium Value
b04983a6,1318.56,1,VIP
b05cfc9e,2445.8,1,VIP
b0770e47,1013.7,1,VIP
b0f955be,1116.64,1,VIP
b100e735,2950.88,1,VIP
b1d60449,2111.44,1,VIP
b2589907,3266.9,1,VIP
b2edec38,220.24,1,Medium Value
b3e2f435,2224.32,1,VIP
b4610081,429.98,1,Medium Value
b8346d68,701.7,1,High Value
b893fdb6,300.9,1,Medium Value
bab19897,159.72,1,Medium Value
bc2db23a,632.88,1,High Value
bc55fcf9,2351.28,1,VIP
bc9b1e68,305.76,1,Medium Value
bcc57a12,2031.1,1,VIP
bdc7490f,4034.52,1,VIP
bdc94097,136.9,1,Medium Value
bf627095,2469.12,1,VIP
c1737fab,1617.52,1,VIP
c40c55f4,10.36,1,Low Value
c899e840,588.72,1,High Value
c8a5f813,382.86,1,Medium Value
cc2243d3,1863.47,1,VIP
ce885f8f,993.15,1,High Value
d1ad1779,324.31,1,Medium Value
d2ec193a,72.48,1,Low Value
d36b2af3,79.46,1,Low Value
d474a4cb,2059.6800000000003,1,VIP
d5b8ab5d,1765.08,1,VIP
d6f95765,1862.88,1,VIP
d7ba2efa,493.07,1,Medium Value
d9538b8a,888.82,1,High Value
da7545a3,493.7,1,Medium Value
db713415,509.76,1,High Value
dca0c424,4365.99,1,VIP
dd004a66,490.26,1,Medium Value
dd9b16b7,1425.4499999999998,1,VIP
e0592c03,844.23,1,High Value
e23429a7,1389.6,1,VIP
e2970bd6,237.24,1,Medium Value
e3cb4b71,112.1,1,Medium Value
e55306c9,1472.38,1,VIP
e85bbf4b,1296.72,1,VIP
ea7db888,217.4,1,Medium Value
ede4e9c4,484.8,1,Medium Value
eeaaf8c5,3340.82,1,VIP
eec094a1,293.77,1,Medium Value
f6751e4d,933.06,1,High Value
f750094d,2874.33,1,VIP
f8731532,2335.92,1,VIP
fbc6abb0,1289.73,1,VIP
fda09007,2310.8,1,VIP
fdbea10a,3031.28,1,VIP
fe668ccf,2654.64,1,VIP
fee45003,4239.27,1,VIP
